holdout,policy_id,robust_score,mean_f1,mean_recall,mean_precision,valid_cluster_rate,mean_seed_jaccard
2K1V,mcc_rank_chain_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.1063362460652848,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.3333333333333333
2K1V,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score_sqrt_size,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score_sqrt_size,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score_sqrt_size,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2WER,fixed_0p4_eps5_ms3_min3_mean_score,0.5430739305689503,0.32392552980788275,0.24444444444444444,0.5634920634920635,1.0,0.41200828157349895
2WER,fixed_0p4_eps5_ms3_min3_mean_score_sqrt_size,0.5430739305689503,0.32392552980788275,0.24444444444444444,0.5634920634920635,1.0,0.41200828157349895
2WER,fixed_0p4_eps6_ms3_min3_mean_score,0.5925825570517282,0.35391934551598414,0.2777777777777778,0.5722639933166249,1.0,0.44687806472703495
2WER,fixed_0p4_eps6_ms3_min3_mean_score_sqrt_size,0.5925825570517282,0.35391934551598414,0.2777777777777778,0.5722639933166249,1.0,0.44687806472703495
2WER,fixed_0p4_eps7_ms3_min3_mean_score,0.5925825570517282,0.35391934551598414,0.2777777777777778,0.5722639933166249,1.0,0.44687806472703495
2WER,fixed_0p4_eps7_ms3_min3_mean_score_sqrt_size,0.5925825570517282,0.35391934551598414,0.2777777777777778,0.5722639933166249,1.0,0.44687806472703495
2WER,mcc_abs_eps5_ms3_min3_mean_score,0.44177791116425974,0.3100714159537689,0.2222222222222222,0.6793650793650794,1.0,0.07936507936507936
2WER,mcc_abs_eps5_ms3_min3_mean_score_sqrt_size,0.5497623756689605,0.3338024640750609,0.24444444444444444,0.6533910533910534,1.0,0.3823953823953824
2WER,mcc_abs_eps6_ms3_min3_mean_score,0.4623784704663884,0.32524448375841564,0.23333333333333334,0.6912698412698413,1.0,0.07936507936507936
2WER,mcc_abs_eps6_ms3_min3_mean_score_sqrt_size,0.5865398792810611,0.359516209584609,0.26666666666666666,0.6720390720390721,1.0,0.3893883893883894
2WER,mcc_abs_eps7_ms3_min3_mean_score,0.4623784704663884,0.32524448375841564,0.23333333333333334,0.6912698412698413,1.0,0.07936507936507936
2WER,mcc_abs_eps7_ms3_min3_mean_score_sqrt_size,0.5865398792810611,0.359516209584609,0.26666666666666666,0.6720390720390721,1.0,0.3893883893883894
2WER,mcc_rank_count_eps5_ms3_min3_mean_score,0.5867225914440561,0.3258920130729546,0.25555555555555554,0.4941724941724942,1.0,0.14814814814814814
2WER,mcc_rank_count_eps5_ms3_min3_mean_score_sqrt_size,0.7906466966599536,0.4045046432518164,0.34444444444444444,0.5361496740807086,1.0,0.5079365079365079
2WER,mcc_rank_count_eps6_ms3_min3_mean_score,0.6349727850330139,0.35138727577751966,0.2777777777777778,0.5181041181041182,1.0,0.1728395061728395
2WER,mcc_rank_count_eps6_ms3_min3_mean_score_sqrt_size,0.7906466966599536,0.4045046432518164,0.34444444444444444,0.5361496740807086,1.0,0.5079365079365079
2WER,mcc_rank_count_eps7_ms3_min3_mean_score,0.6349727850330139,0.35138727577751966,0.2777777777777778,0.5181041181041182,1.0,0.1728395061728395
2WER,mcc_rank_count_eps7_ms3_min3_mean_score_sqrt_size,0.7825639505294576,0.40576013603273287,0.35555555555555557,0.5281385281385281,1.0,0.46872082166199813
2WER,mcc_rank_fraction_eps5_ms3_min3_mean_score,0.5746641391020475,0.3139021374315492,0.23333333333333334,0.5436507936507936,1.0,0.19444444444444445
2WER,mcc_rank_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.6381205612653761,0.3189856523189857,0.24444444444444444,0.5376984126984127,1.0,0.4211111111111111
2WER,mcc_rank_fraction_eps6_ms3_min3_mean_score,0.639899310123998,0.3633657887258641,0.2777777777777778,0.5753968253968254,1.0,0.16666666666666666
2WER,mcc_rank_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.720185254001846,0.3684493036133005,0.28888888888888886,0.5694444444444444,1.0,0.46
2WER,mcc_rank_fraction_eps7_ms3_min3_mean_score,0.639899310123998,0.3633657887258641,0.2777777777777778,0.5753968253968254,1.0,0.16666666666666666
2WER,mcc_rank_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.720185254001846,0.3684493036133005,0.28888888888888886,0.5694444444444444,1.0,0.46
2WER,mcc_rank_chain_fraction_eps5_ms3_min3_mean_score,0.5710870161709941,0.3159041394335512,0.23333333333333334,0.5753968253968254,1.0,0.16666666666666666
2WER,mcc_rank_chain_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.6412377380136888,0.32354996505939904,0.24444444444444444,0.5760869565217391,1.0,0.40640096618357485
2WER,mcc_rank_chain_fraction_eps6_ms3_min3_mean_score,0.7299970037569079,0.37660301811245206,0.28888888888888886,0.6197377501725327,1.0,0.4514492753623189
2WER,mcc_rank_chain_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.7299970037569079,0.37660301811245206,0.28888888888888886,0.6197377501725327,1.0,0.4514492753623189
2WER,mcc_rank_chain_fraction_eps7_ms3_min3_mean_score,0.7299970037569079,0.37660301811245206,0.28888888888888886,0.6197377501725327,1.0,0.4514492753623189
