#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)","Time Remaining"
44.8%,5600000,11200.00000136424,-2685734.685984656,299.70709049077243,1.0145352775690082,182,1:49:16
45.0%,5625000,11250.000001374427,-2685106.559217643,299.708683872285,1.0131240642910964,182,1:48:53
45.2%,5650000,11300.000001384613,-2686075.7683430817,300.4742398488024,1.0129625983638728,182,1:48:29
45.4%,5675000,11350.0000013948,-2681138.6581541393,300.08472416596135,1.0114435441989698,182,1:48:05
45.6%,5700000,11400.000001404986,-2684417.9530386683,301.0161379855375,1.0150123172884455,182,1:47:41
45.8%,5725000,11450.000001415172,-2683867.645121334,300.40355762746964,1.0123494212550799,182,1:47:17
46.0%,5750000,11500.000001425358,-2680727.003338672,301.73080363121295,1.0124322123330234,182,1:46:53
46.2%,5775000,11550.000001435545,-2684091.1172216944,301.1980722309858,1.0126574569711513,182,1:46:30
46.4%,5800000,11600.000001445731,-2686178.0027455,301.0603204207957,1.0123374135231906,182,1:46:06
46.6%,5825000,11650.000001455917,-2688029.1078073196,300.67629043471516,1.0147489229056375,182,1:45:43
46.8%,5850000,11700.000001466104,-2684295.625057712,299.3956958986183,1.0108099423560133,182,1:45:19
47.0%,5875000,11750.00000147629,-2688180.5615263786,300.9570670849202,1.014572078894156,182,1:44:56
47.2%,5900000,11800.000001486476,-2684309.3536117543,301.0953804235221,1.0128724655399126,182,1:44:32
47.4%,5925000,11850.000001496663,-2684398.407095637,300.029244298331,1.012053769219493,182,1:44:08
47.6%,5950000,11900.000001506849,-2684999.391537484,301.5372315936234,1.0130132124380955,182,1:43:44
47.8%,5975000,11950.000001517035,-2684053.6951371394,300.02715415118104,1.012153295665238,182,1:43:21
48.0%,6000000,12000.000001527222,-2684582.724232152,301.4028155763021,1.0111634331013404,182,1:42:57
48.2%,6025000,12050.000001537408,-2684309.860141378,300.66618277804025,1.0115416717936383,182,1:42:33
48.4%,6050000,12100.000001547594,-2684371.4540436864,300.541482495876,1.0131327462344655,182,1:42:10
48.6%,6075000,12150.00000155778,-2683111.838691609,300.10416876194364,1.0131350407323874,182,1:41:46
48.8%,6100000,12200.000001567967,-2685360.78851993,300.36048242193567,1.0126932005285743,182,1:41:23
49.0%,6125000,12250.000001578153,-2685789.3364313263,300.09751237699186,1.0129589128946703,182,1:40:59
49.2%,6150000,12300.00000158834,-2684514.3470405787,300.29605462668326,1.0117689129072005,182,1:40:35
49.4%,6175000,12350.000001598526,-2684968.8428527564,299.8665105386481,1.0135320852932164,182,1:40:11
49.6%,6200000,12400.000001608712,-2684710.42510142,301.3098534253294,1.0124256155417557,182,1:39:47
