name,official_url,download_date,license,file_path,file_size,sha256,file_type,schema_preview,contains,trust_level,intended_role,warnings,status
LP-PDBBind GitHub search,https://github.com/search?q=LP-PDBBind,2026-05-27T18:53:33Z,UNKNOWN,data\raw_intake\pdbbind\lp_pdbbind_github_search.json,72 B,53895997f5e07566d90a3f34b7fbb880fb1acf32d885aa31fbb268a6d7769d2a,JSON,,metadata,OFFICIAL_API,LP-PDBBind leakage-aware split reference for data hygiene,"Use LP-PDBBind split methodology, not labels, for cryptic-pocket splits",ACQUIRED
AlphaFold P15531 (PCNA_HUMAN) CIF,https://alphafold.ebi.ac.uk/entry/P15531,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\alphafold\AF_P15531_PCNA_HUMAN.cif,152.7 KB,4eab0679af9b60a442d47c869c5f1c42b6fce228803f2378ca342129f894b91c,mmCIF (predicted),data_AF-P15531-F1,structures|metadata,OFFICIAL_DOWNLOAD,PCNA predicted structure for structural context only,"PREDICTED structure. pLDDT confidence must be checked. NOT experimental evidence. Use only when experimental PDB unavailable. pLDDT=97.44, model version=6",ACQUIRED
AlphaFold P15531 (PCNA_HUMAN) API metadata,https://alphafold.ebi.ac.uk/api/prediction/P15531,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\alphafold\AF_P15531_PCNA_HUMAN_api.json,4.5 KB,6cfd164a07258c7d163d176da245228ac14e8eaa322add30630ad324844264a3,JSON,,metadata,OFFICIAL_API,AlphaFold PCNA metadata,Predicted structure context only,ACQUIRED
AlphaFold P12004 (PCNA_MOUSE) CIF,https://alphafold.ebi.ac.uk/entry/P12004,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\alphafold\AF_P12004_PCNA_MOUSE.cif,244.9 KB,cd62288975867475d1e6c10279b3eac025794bb8e5ddc89cbf4610b3a4de6f01,mmCIF (predicted),data_AF-P12004-F1,structures|metadata,OFFICIAL_DOWNLOAD,PCNA predicted structure for structural context only,"PREDICTED structure. pLDDT confidence must be checked. NOT experimental evidence. Use only when experimental PDB unavailable. pLDDT=94.31, model version=6",ACQUIRED
AlphaFold P12004 (PCNA_MOUSE) API metadata,https://alphafold.ebi.ac.uk/api/prediction/P12004,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\alphafold\AF_P12004_PCNA_MOUSE_api.json,2.6 KB,b7281207729e246f8c5f614a46fcc9c99a05061a5c16d7cf0496797438ac8a88,JSON,,metadata,OFFICIAL_API,AlphaFold PCNA metadata,Predicted structure context only,ACQUIRED
AlphaFold P04448 (PCNA_YEAST) CIF,https://alphafold.ebi.ac.uk/entry/P04448,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\alphafold\AF_P04448_PCNA_YEAST.cif,173.1 KB,4dd217da965f14922a96bdb45f1a480245d052e8b2c4f7e8e08ae1b02806e56e,mmCIF (predicted),data_AF-P04448-F1,structures|metadata,OFFICIAL_DOWNLOAD,PCNA predicted structure for structural context only,"PREDICTED structure. pLDDT confidence must be checked. NOT experimental evidence. Use only when experimental PDB unavailable. pLDDT=91.19, model version=6",ACQUIRED
AlphaFold P04448 (PCNA_YEAST) API metadata,https://alphafold.ebi.ac.uk/api/prediction/P04448,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\alphafold\AF_P04448_PCNA_YEAST_api.json,2.2 KB,1be5f50698dd78000019e3c2622235c1c8355409b8e6126d9ad34ef7d8b379fe,JSON,,metadata,OFFICIAL_API,AlphaFold PCNA metadata,Predicted structure context only,ACQUIRED
STRING PCNA network,https://string-db.org,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\string\pcna_string_network.json,362.3 KB,d186acbecc223811aa5d5b02b9bf766ebfb229507545ce33df6bd21e90ea7155,JSON,"fields from STRING API: stringId_A, stringId_B, score, experiments",metadata,OFFICIAL_API,PCNA functional/physical interaction context,STRING includes functional/co-expression associations. Use only physical sub-network for structural context. NOT pocket labels.,ACQUIRED
STRING PCNA enrichment,https://string-db.org,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\string\pcna_string_enrichment.json,1.02 MB,cef1fa9b55fc07a774acfdeb1b0e5647450e2bbf334abdcac204f5ae437331a5,JSON,"fields from STRING API: stringId_A, stringId_B, score, experiments",metadata,OFFICIAL_API,PCNA functional/physical interaction context,STRING includes functional/co-expression associations. Use only physical sub-network for structural context. NOT pocket labels.,ACQUIRED
STRING PCNA partners,https://string-db.org,2026-05-27T18:53:33Z,CC BY 4.0,data\raw_intake\string\pcna_string_partners.json,33.9 KB,8130c19088bd0d4d36199080940cc676498a7df064b2b359f3d00cc90d4bf875,JSON,"fields from STRING API: stringId_A, stringId_B, score, experiments",metadata,OFFICIAL_API,PCNA functional/physical interaction context,STRING includes functional/co-expression associations. Use only physical sub-network for structural context. NOT pocket labels.,ACQUIRED
